wallet,late_signal_score,total_profit_pnl,realized_profit_7d,realized_profit_30d,winrate,sol_balance,buy_7d,sell_7d,buy_30d,sell_30d,avg_holding_period_seconds,tags
2ce9tZ9h6oeuMpgNbGejRTCP7J7xGPkoRY3rLPvHPb9b,60.500505678724004,0.031572241490088554,9416.040443388625,27290.220174316888,,94.009011664,643,762,2806,2783,,['axiom']
5impjPp4Aj5Emr8LyrqZEGY7uNW9pMpBnfG5CaqvJrSe,58.264999917757,0.025606475106454796,-745.3831277341416,800.3826684574178,,2.785408677,222,280,953,1366,,['axiom']
BdebBN3V55KzpWX7TTdPdYVzca132Z4UavWJFi1BaLsc,56.991702198542,0.018676972464055346,-691.9521275570289,483.7490205000277,,5.307264373,223,275,957,1363,,['axiom']
36EHKsf4ceNaPo2kjWp5GXVncVGgS4nwmbkfVrJCFpUs,56.64081000427699,0.12439908875311884,6752.390278630213,18844.991311669226,,2.388258678,55,70,166,238,,['axiom']
3tgpbmw99da6WFPfPh7uRPMLpEhSjuj8JMRXrPD2wiYA,53.985740794453996,0.28547289116431707,27028.457689271734,53892.26959751788,,553.775422845,470,502,1593,1738,,['axiom']
9iFgPXwrU6GToh3VW9TN1QG7QecYhJJXb4RLSHzpEoLb,53.611101880905,0.07816762092965604,12531.667022595178,26895.93681701963,,55.381733115,42,79,144,345,,['axiom']
68LXVGnBQny6T2LaizJdp1hybKShdGZnZwnsjxbLZFAF,51.911329158723,-0.1458726698551284,-83.9685136063664,-221.65634452705442,,0,41,44,96,95,,[]
FHgfsbUcqdd9iXY75yN2KErCnVsxNYwo486nYzFuTVc8,49.036036371006,0.34079138963099465,43041.78810031244,70527.24288983089,,837.92298233,469,521,1590,1753,,['axiom']
6dtUFfjQfQ35tkwGRMs3NFsF9sYn3mRV4UtGaC4uBh8J,47.912247391117006,0.37526612873961834,38525.952152658996,74046.89929694534,,729.929043829,466,499,1588,1706,,['axiom']
F5CymCUo7E2MQGxfYFxBSTk6PaBbQyqMporpPdu6iWF9,47.394261634244,0.2788057493524359,17076.833808610605,63298.34730156608,,709.476285602,478,489,1610,1673,,['axiom']
BpNNbWWjw7JmUhvHedXxg5T3Bw4NbgpFmkUm7ZqUPj2F,47.247258674882,-0.02822784715781971,842.6137238563548,794.8719966361556,,0.740653617,15,7,16,10,,[]
3VjkDRH1M9mZ9gNfHWzTmSvydJ6CwXamsN74rndZrrpk,45.388183029679006,0.3222517216598115,30428.497143870958,66076.3559080814,,647.330687075,467,508,1589,1689,,['axiom']
9H8xpLFE9p7kHDJG3S2JLqigy1VuvuohgFfECnVJtUBj,45.013531893913004,0.30517114555272096,29792.35363458265,64126.65148299723,,668.616769548,471,498,1589,1699,,['axiom']
728xaj3SmLWNoL2R4icM7ArJ9oVhpEpJMRCW5CrdWpq6,44.198086707932,0.041846214940362086,507.84661685614833,1934.269928295933,,10.309553282,98,113,235,239,,[]
FN5bhcBfv7sCtBMPHabu9H7JH8MwdbqfEdPieGMAJ25N,42.155431039761,0.28596064037232,1522.9920470690445,5583.2990552006795,,46.593994217,44,40,96,107,,['axiom']
Bzzy8fSPnhWNMb8Rc3SkJGWoDMf9rs934bDRMRZPmCYT,42.018593076418,0.24217913053505463,13019.558107571396,67028.53992181162,,599.75002412,185,304,911,1475,,['axiom']
FqNugk9kgbdAYPLKyLLLNUcJnWydEvjh2ejgM4Agwu2P,40.077138960403005,-0.018938083125747098,1509.3276481232078,236.19692687607832,,0.000987879,195,157,972,637,,['axiom']
