wallet,timing_class,first_buy_ts,first_buy_utc,first_buy_days_before_migration,last_buy_ts,last_buy_utc,last_buy_minutes_before_migration,buy_count_prebond,sell_count_prebond,buy_tokens_prebond,sell_tokens_prebond,net_tokens_prebond,buy_sol_prebond,sell_sol_prebond,buy_usd_prebond,sell_usd_prebond,maker_tags,maker_token_tags,maker_event_tags,gmgn_total_trade_snapshot,gmgn_realized_profit_snapshot,gmgn_unrealized_profit_snapshot,buy_sol_7d,buy_tokens_7d,net_tokens_7d,buy_count_7d,buy_sol_24h,buy_tokens_24h,net_tokens_24h,buy_count_24h,buy_sol_6h,buy_tokens_6h,net_tokens_6h,buy_count_6h,buy_sol_1h,buy_tokens_1h,net_tokens_1h,buy_count_1h,buy_sol_30m,buy_tokens_30m,net_tokens_30m,buy_count_30m,buy_sol_10m,buy_tokens_10m,net_tokens_10m,buy_count_10m,launch_bundle,late_signal_score,currently_top_holder,holder_token_account,holder_rank,holder_addr_type,holder_exchange,holder_current_balance,holder_current_supply_pct,holder_current_usd_value,holder_start_holding_ts,holder_start_holding_utc,holder_start_minutes_before_migration,holder_holder_timing_class,holder_is_on_curve,holder_is_new,holder_is_suspicious,holder_transfer_in,holder_buy_volume_cur,holder_buy_amount_cur,holder_sell_volume_cur,holder_sell_amount_cur,holder_buy_tx_count_cur,holder_sell_tx_count_cur,holder_history_bought_cost,holder_history_sold_income,holder_profit,holder_profit_change,holder_realized_profit,holder_unrealized_profit,holder_avg_cost,holder_avg_sold,holder_native_funder,holder_native_funding_amount,holder_native_funding_ts,holder_native_funding_utc,holder_native_funding_tx,holder_token_transfer_type,holder_tags,holder_maker_token_tags,holder_gmgn_name,holder_gmgn_twitter_username,holder_wallet_created_ts,holder_wallet_created_utc
5veTCy9eDaL66LqABfpywN6jr1s7zaXP4uit8sMRAaHA,launch-window,1783652251,2026-07-10T02:57:31+00:00,41.81968,1783656428,2026-07-10T04:07:08+00:00,60150.717,8,8,538570.735159,538570.735159,0.0,0.058285330999999996,0.05955169,4.60053402311,4.70149154216,"gmgn,paper_hands",,,16,-0.05608325829,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZ8yTKQxBYf29VELRWxAkd8avHPB1wFxtfwvKbH9SGur,launch-window,1783652240,2026-07-10T02:57:20+00:00,41.8198,1783652240,2026-07-10T02:57:20+00:00,60220.517,1,3,635821.892941,635821.892941,0.0,0.05390123,0.085788679,4.263587293,6.78577676069,,bundler,,4,2.38400466172,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLu2p3t2rdTJ43bDXq39wkmRoGVHz4uyxGB2xPMTb7wQ,old-holder,1783654292,2026-07-10T03:31:32+00:00,41.79605,1783654292,2026-07-10T03:31:32+00:00,60186.317,1,1,373124.0606,373124.0606,0.0,0.051423633,0.040756809,4.05063957141,3.22060304718,fresh_wallet,,,2,-0.90732672228,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKny1vAw5urxwoXRvM1uGtpQaGtk5mz1QVBNsYxwno2,old-holder,1783653210,2026-07-10T03:13:30+00:00,41.80858,1783653210,2026-07-10T03:13:30+00:00,60204.35,1,1,219632.229858,219632.229858,0.0,0.051358023,0.058782624,4.04906653332,4.63089511872,,,,4,-6.12852503253,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CN5zoWLLy591WSkLn4vw2qUkatnkWyU2rg7djN8HWeD,old-holder,1783656770,2026-07-10T04:12:50+00:00,41.76737,1783656770,2026-07-10T04:12:50+00:00,60145.017,1,1,937940.705686,937940.705686,0.0,0.050060424,0.035836137,3.9572765172,2.83177154574,,,,2,-1.52729865837,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65gCBAVRy8aMH4Btpqd7Wtvobom15ppfXSMhmqMWaRho,old-holder,1783654625,2026-07-10T03:37:05+00:00,41.7922,1783654625,2026-07-10T03:37:05+00:00,60180.767,1,1,338401.973325,338401.973325,0.0,0.050000001,0.025394023,3.94650007893,2.00815933884,trojan,,,2,-2.09252750091,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW3yqusYsUcxDE8qTkUm1GFFcxButfzZuzMsDQhysHAt,launch-window,1783652318,2026-07-10T02:58:38+00:00,41.8189,1783652318,2026-07-10T02:58:38+00:00,60219.217,1,1,349792.739247,349792.739247,0.0,0.049627654,0.053990863,3.92505115486,4.26635799426,"fresh_wallet,gmgn",,,2,0.0539028737,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7V9yKuBqwnSGST7Ts1c1Zkg6d2T9jSGDjJDQ7sNpHu7R,launch-window,1783652300,2026-07-10T02:58:20+00:00,41.81911,1783652300,2026-07-10T02:58:20+00:00,60219.517,1,1,339571.49315,339571.49315,0.0,0.049382715,0.086756917,3.9051851022,6.83731262877,,,,2,2.70548052855,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9XveTynTFqsqFi6NXGLkk1P5Cf3dD3RWu2bxWTKT2V7M,launch-window,1783652506,2026-07-10T03:01:46+00:00,41.81672,1783652506,2026-07-10T03:01:46+00:00,60216.083,1,1,351547.210667,351547.210667,0.0,0.049382715,0.058500853,3.9022221393,4.61279225905,,,,2,0.51177830035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57tz7GuMEHQQxVkrGfcVHnY88vwftv9pKMGTd1idCMcd,old-holder,1783652994,2026-07-10T03:09:54+00:00,41.81108,1783652994,2026-07-10T03:09:54+00:00,60207.95,1,1,203610.167246,203610.167246,0.0,0.049382715,0.04651426,3.89185176915,3.665323688,,,,2,-0.32793696488,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crj919PnMN2GnefmAFmx83JLJ1ocXBU2LDXzFbQhqowb,old-holder,1783653284,2026-07-10T03:14:44+00:00,41.80772,1783653284,2026-07-10T03:14:44+00:00,60203.117,1,1,174942.720096,174942.720096,0.0,0.049382715,0.012707129,3.8923455963,1.00183005036,"fresh_wallet,padre",,,2,-3.15956947288,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Vggwn3LPougvnGa8zpYJMEN9L38tSRa45gv9odiSVF1,old-holder,1783653888,2026-07-10T03:24:48+00:00,41.80073,1783653888,2026-07-10T03:24:48+00:00,60193.05,1,1,614480.84319,614480.84319,0.0,0.049382715,0.051922386,3.8933332506,4.09356091224,gmgn,,,2,0.0680669082,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AfL5xppKpbB3DSfLcpQ6Pzk7xvqnVfMcQWfcdqWruTPc,old-holder,1783654106,2026-07-10T03:28:26+00:00,41.79821,1783654106,2026-07-10T03:28:26+00:00,60189.417,1,1,480909.081467,480909.081467,0.0,0.049382715,0.024816047,3.89679004065,1.95897875018,gmgn,,,2,-6.45186398544,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5mbo1CogP1VEyHExZCkaegSwXwdrbdomQJSZTEHSnJdJ,launch-window,1783652415,2026-07-10T03:00:15+00:00,41.81778,1783652415,2026-07-10T03:00:15+00:00,60217.6,1,1,314307.241755,314307.241755,0.0,0.049135801,0.050612673,3.88271099502,3.99688278681,padre,,,2,0.0200843336,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8C1XhUDJKongKWgN6ViYZ6bcNDUG9XoCNBkr29qNqYxV,launch-window,1783652470,2026-07-10T03:01:10+00:00,41.81714,1783652470,2026-07-10T03:01:10+00:00,60216.683,1,1,332124.088147,332124.088147,0.0,0.049135801,0.013136122,3.88271099502,1.04130039094,,,,2,-2.9436347589,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CnP4CRCcZbPUndpqqtPwRJCcmYx5t4QKfzjbeVMM5PaE,old-holder,1783653133,2026-07-10T03:12:13+00:00,41.80947,1783653133,2026-07-10T03:12:13+00:00,60205.633,1,1,252745.175991,240107.917192,12637.258799000003,0.048962962,0.030390105,3.86023992408,2.400818295,,,,2,-1.3302583495844937,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31FCVjYDiQ33PLNaq6bQdnf5KYaCKgC6LQACP4D98yRw,old-holder,1783653230,2026-07-10T03:13:50+00:00,41.80834,1783653230,2026-07-10T03:13:50+00:00,60204.017,1,1,219172.08866,214540.134561,4631.954098999995,0.048962962,0.064962164,3.85975029446,5.11836890156,,,,2,1.2431962801100502,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8AZd43v1nTNuKyyMGs8wngmeuZ2gU6vGcTqxCurziFX2,launch-window,1783652256,2026-07-10T02:57:36+00:00,41.81962,1783652256,2026-07-10T02:57:36+00:00,60220.25,1,1,363081.321105,363081.321105,0.0,0.048888888,0.048317462,3.86759992968,3.82239441882,axiom,,,2,-0.15069561057,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57EtMrmkbJZ979cDxUw2nfWQUuBjPn8j4xgvPFV3CxUr,old-holder,1783652859,2026-07-10T03:07:39+00:00,41.81264,1783652859,2026-07-10T03:07:39+00:00,60210.2,1,1,228383.932851,228383.932851,0.0,0.048888888,0.006763142,3.85293326328,0.52454929352,"axiom,fresh_wallet",,,2,-3.44542812221,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FK3yYvtTzVSHzkfTRwKHBwnAY9jxVpuS8S1EmuwpRW7i,launch-window,1783652364,2026-07-10T02:59:24+00:00,41.81837,1783653955,2026-07-10T03:25:55+00:00,60191.933,5,2,380506.822883,380506.822883,0.0,0.048888885,0.043541781,3.85674635988,3.43506298494,axiom,,,7,-0.50955254612,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoSW4ryoutjgsBAbwCWSQ8PcXEzo1dbsN1Cvf4qxPMes,old-holder,1783663804,2026-07-10T06:10:04+00:00,41.68596,1783663804,2026-07-10T06:10:04+00:00,60027.783,1,1,1133885.750059,1133885.750059,0.0,0.047009997,0.033739943,3.72131136252,2.62935375799,,top_holder,,2,-1.16168988514,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Mmwiivi1KWxdbccq8zdegFpbZrp5yVHTx3uUAFLSdJG,launch-window,1783652272,2026-07-10T02:57:52+00:00,41.81943,1783652541,2026-07-10T03:02:21+00:00,60215.5,8,4,317814.47627,317814.47627,0.0,0.044977772,0.047673929000000004,3.55727243209,3.76884418255,"axiom,fresh_wallet",,,12,0.12774396814,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
