minute_ts,utc,open,high,low,close,open_mcap,high_mcap,close_mcap,buy_sol,sell_sol,buy_usd,sell_usd,buy_count,sell_count,unique_buyers,return_1m,mcap_change_1m,return_5m,mcap_change_5m,return_10m,mcap_change_10m,return_30m,mcap_change_30m,return_60m,mcap_change_60m
1783666860,2026-07-10T07:01:00+00:00,2.965218103712e-06,2.965218103712e-06,2.965218103712e-06,2.965218103712e-06,2965.218103712,2965.218103712,2965.218103712,0,0.035428895,0,2.7946312376,0,1,0,-0.0031136027477220996,-9.261347392000062,-0.0031136027477220996,-9.261347392000062,-0.0031136027477220996,-9.261347392000062,-0.016694750858539886,-50.34405900499996,-0.09767278538344348,-320.97126936600034
1783667760,2026-07-10T07:16:00+00:00,2.965798169283e-06,2.965798169283e-06,2.965798169283e-06,2.965798169283e-06,2965.7981692830003,2965.7981692830003,2965.7981692830003,0,0.006238844,0,0.49280628756,0,1,0,0.0001956232394082491,0.5800655710004321,0.0001956232394082491,0.5800655710004321,0.0001956232394082491,0.5800655710004321,-0.0029185886013695095,-8.68128182099963,-0.08872854579712786,-288.7734027819997
1783668300,2026-07-10T07:25:00+00:00,2.96466844941e-06,2.96466844941e-06,2.96466844941e-06,2.96466844941e-06,2964.66844941,2964.66844941,2964.66844941,0,0.033385041,0,2.63908749105,0,1,0,-0.00038091596545608564,-1.1297198730003402,-0.00038091596545608564,-1.1297198730003402,-0.0001853672420628616,-0.5496543019999081,-0.0032983928298306875,-9.81100169399997,-0.06519254171956812,-206.75302690499984
1783669200,2026-07-10T07:40:00+00:00,2.949455797372e-06,2.949455797372e-06,2.949455797372e-06,2.949455797372e-06,2949.455797372,2949.455797372,2949.455797372,0,0.044073742,0,3.47389234444,0,1,0,-0.005131316468466318,-15.212652038000215,-0.005131316468466318,-15.212652038000215,-0.005131316468466318,-15.212652038000215,-0.005315732532547246,-15.762306340000123,-0.008412784200849899,-25.023653732000184
1783669980,2026-07-10T07:53:00+00:00,2.945577355722e-06,2.945577355722e-06,2.945577355722e-06,2.945577355722e-06,2945.577355722,2945.577355722,2945.577355722,0,0.019185745,0,1.5129878507,0,1,0,-0.0013149685624906926,-3.878441649999786,-0.0013149685624906926,-3.878441649999786,-0.0013149685624906926,-3.878441649999786,-0.006818000553924675,-20.22081356100034,-0.009716690216593382,-28.90209538199997
1783671300,2026-07-10T08:15:00+00:00,2.94733611051e-06,2.94733611051e-06,2.94733611051e-06,2.94733611051e-06,2947.33611051,2947.33611051,2947.33611051,0,0.0128346,0,1.013676708,0,1,0,0.0005970832117456748,1.7587547879998056,0.0005970832117456748,1.7587547879998056,0.0005970832117456748,1.7587547879998056,-0.000718670496397511,-2.1196868619999805,-0.006030582768806969,-17.881993202000103
1783671480,2026-07-10T08:18:00+00:00,2.945850693384e-06,2.945850693384e-06,2.945850693384e-06,2.945850693384e-06,2945.850693384,2945.850693384,2945.850693384,0,0.113964276,0,9.02938958748,0,1,0,-0.000503986335560036,-1.485417125999902,9.279595440569999e-05,0.2733376619999035,9.279595440569999e-05,0.2733376619999035,-0.0012222946318476424,-3.6051039879998825,-0.0067258372823875145,-19.947475899000437
1783672620,2026-07-10T08:37:00+00:00,2.933685314791e-06,2.933685314791e-06,2.933685314791e-06,2.933685314791e-06,2933.6853147909997,2933.6853147909997,2933.6853147909997,0,0.063949138,0,5.07180613478,0,1,0,-0.004129665709237118,-12.165378593000241,-0.004129665709237118,-12.165378593000241,-0.004129665709237118,-12.165378593000241,-0.004037252971102134,-11.892040931000338,-0.010450792440269696,-30.98313461900034
1783672680,2026-07-10T08:38:00+00:00,2.92724534765e-06,2.92724534765e-06,2.92724534765e-06,2.92724534765e-06,2927.24534765,2927.24534765,2927.24534765,0,0.007520985,0,0.5964141105,0,1,0,-0.002195179935806646,-6.43996714099967,-0.006315780285737316,-18.60534573399991,-0.006315780285737316,-18.60534573399991,-0.006223570410190948,-18.332008072000008,-0.012623031006198215,-37.42310176000001
1783672800,2026-07-10T08:40:00+00:00,2.925642187136e-06,2.925642187136e-06,2.925642187136e-06,2.925642187136e-06,2925.642187136,2925.642187136,2925.642187136,0,0.002667581,0,0.21148582168,0,1,0,-0.0005476686521296292,-1.6031605140001375,-0.006859989982990644,-20.20850624800005,-0.006859989982990644,-20.20850624800005,-0.006767830607902536,-19.935168586000145,-0.008073899685907548,-23.81361023599993
