wallet,token_account,rank,addr_type,exchange,current_balance,current_supply_pct,current_usd_value,start_holding_ts,start_holding_utc,start_minutes_before_migration,holder_timing_class,is_on_curve,is_new,is_suspicious,transfer_in,buy_volume_cur,buy_amount_cur,sell_volume_cur,sell_amount_cur,buy_tx_count_cur,sell_tx_count_cur,history_bought_cost,history_sold_income,profit,profit_change,realized_profit,unrealized_profit,avg_cost,avg_sold,native_funder,native_funding_amount,native_funding_ts,native_funding_utc,native_funding_tx,token_transfer_type,tags,maker_token_tags,gmgn_name,gmgn_twitter_username,wallet_created_ts,wallet_created_utc
8P2vihRJqAqKThcmrzdSzuUcKHqXecdm3gPkx7F8YnnB,BxxaAeX83zrXtXSufe6hR4fqHY4Q5jdpqeqXsESTuA6X,TOP63,0,,2874795.038706,0.29678463006879496,391.3975374338437,1787435075,2026-08-22T21:44:35+00:00,-2826.733,post-migration,True,False,False,False,460.16439834106,2874795.038706,0,0,4,0,460.16439834106,0,-70.3989227903163,-0.15244578262064645,0,-70.3989227903163,0.0001600685934633409,,,,,,,buy,fomo,,,,0,
ApvaYkZwtvhscHdoXtVQbUcNWkgvevVCw6cYoXdUg9p3,BvNFBotyJ6Z48PQxPo9anToPFbmPSXBuDUAHHAwjHQnG,TOP64,0,,2870671.172893,0.29635889537352583,390.83608143361266,1787771184,2026-08-26T19:06:24+00:00,-8428.55,post-migration,True,False,False,False,954.72679662637,7313151.354767,629.99966769607,4442480.181874,6,44,954.72679662637,629.99966769607,65.43753537371265,0.06849241963354441,79.20589181985196,-13.768356446139308,0.0001305493008843638,0.00014181260059787442,max1pq1C9Bxzmy2VtFidxwxFFhjjo9ucNUi1A1w3gwh,110,1787094544,2026-08-18T23:09:04+00:00,5bPwC7tgqQJLvd8KsiQ35QqhK8sF7gNFAbGz9QqWJg6puHjCMih5hqESzXdxntW9xh7PExHSkNZz1C3Wkr3eGBzD,buy,,,,,1787094544,2026-08-18T23:09:04+00:00
4WVKXojv4VvEmB3cbx9bTvygqtGwBbNvx15P4qFuL8PD,CK7wKhaVx2U5rg4pGpwsgNy7UdKzBkazUn72LxPJkdNs,TOP65,0,,2861863.606984,0.29544963048510253,389.6369491263855,1787433982,2026-08-22T21:26:22+00:00,-2808.517,post-migration,True,False,False,False,1478.00028168504,2861863.606984,0,0,6,0,1478.00028168504,0,-1105.5012391954747,-0.7393973666315667,0,-1105.5012391954747,0.0005164467929492431,,EMXJqHznGSnSzeMyigBGQNEFw4EeaNDbj1UwaFTpp3sg,2.054498472,1785805490,2026-08-04T01:04:50+00:00,WNccyVoWze96xyuNKBGq82vPXwA3ts9PADQagN7uWnUnAW4Y3TC3u1Y6LBgsJCLDzLQaWHHvNNEktZEZxj92zs6,buy,padre,,,,1785805490,2026-08-04T01:04:50+00:00
2zH92eqHGp8k37tScEye4cZq5ABxChqmPLraXaHsHGKD,Bd4yHiHGr9ktv3QXdMumLetsQtLyM9CUhj98Z6hgFo9b,TOP66,0,,2848229.868021,0.29404212695176896,387.78074310672577,1787404135,2026-08-22T13:08:55+00:00,-2311.067,post-migration,True,False,False,True,2292.32389067949,14522491.591495,2721.74873488866,13273860.054667,36,16,2292.32389067949,2721.74873488866,284.97981884318693,0.10037850859284903,268.2537645058407,16.726054337346227,0.00015784646017780957,0.00020504576089241738,FzZ77TM8Ekcb6gyWPmcT9upWkAZKZc5xrYfuFu7pifPn,0.043146942,1739469528,2025-02-13T17:58:48+00:00,,transfer_in,,transfer_in,,,1739469528,2025-02-13T17:58:48+00:00
6uu3hHQinzVRFvpdy7m44RM8w221ACDxqXpmvLiLUFd6,EVutJfo2vd4VafTFB4QqvTQVviFvx1F9HtjRdVgNDPXS,TOP67,0,,2800000,0.28906302988705357,381.214344,1787550348,2026-08-24T05:45:48+00:00,-4747.95,post-migration,True,False,False,False,1901.40909939331,3984580.654085,697.43536922164,1184139.430635,6,3,1901.40909939331,697.43536922164,-2534.7811163945516,-0.3002030277010325,-2118.0259523945515,-416.75516400000004,0.00047719177109490344,0.0005889807831562852,ChGA1Wbh9WN8MDiQ4ggA5PzBspS2Z6QheyaxdVo3XdW6,0.001091936,1741576612,2025-03-10T03:16:52+00:00,,transfer_in,,,,,1741576612,2025-03-10T03:16:52+00:00
EXR8rzkzmuKT5w4MLu2t7Q9wgT9w6SXqik2bJRuqfG2Z,4KL9HBko771rxWQpZeXi822JEw5TqMyvCCryL5QaChVW,TOP68,0,,2697339.28311,0.2784646663604106,367.23729477007464,1787318801,2026-08-21T13:26:41+00:00,-888.833,post-migration,True,False,False,False,2515.1626251067,8049259.209417,731.61756725877,5351919.926307,17,9,2515.1626251067,731.61756725877,-1417.3823682712755,-0.5632944108780314,-1009.5181532441267,-407.8642150271487,0.0003124713168839385,0.00013670188966440872,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2.8674,1777086597,2026-04-25T03:09:57+00:00,5kfwsYYkrvTBVAVuArH58sSLdQQifjiPLzFfcDh6T1gLW9BMuje7Nt4K7DbejsevRKBFPRRq4ddNK5xmbbkP9EUJ,buy,,,,,1777086597,2026-04-25T03:09:57+00:00
36Pcc8mrMgmgvFAvCpXoigZ527UnMST2PvfexUYrCkbD,5LiCAz5oDvhr7vGYyVeZYfe4nZCzSju6wXTMrTJ65CEK,TOP69,0,,2672964.140777,0.2759482547544445,363.9186683792242,1787288512,2026-08-21T05:01:52+00:00,-384.017,post-migration,True,False,False,False,864.01338061954,2672964.140777,0,0,10,0,864.01338061954,0,-506.2339190139859,-0.5817760314091047,0,-506.2339190139859,0.00032324166547493643,,UMvU6zumVJA7FXHBUUyHP7AfDHQBhjTFpHHwad5dCWj,0.82,1753781941,2025-07-29T09:39:01+00:00,,buy,fomo,,,,1753781941,2025-07-29T09:39:01+00:00
4uLhWtDo89s4bDw6RyEcv1Zo1f6F76VRQymod5m1eMfS,2MT2sbLM5eP6BoAAoMBp2mkCrA6j2pJPNovjvWxy4muj,TOP70,0,,2640896.3618,0.27263767998557303,359.55270504841917,1787270676,2026-08-21T00:04:36+00:00,-86.75,post-migration,True,False,False,False,1592.66426503868,2640896.3618,0,0,5,0,1592.66426503868,0,-1234.0396260352209,-0.7743759818397696,0,-1234.0396260352209,0.0006030771551948146,,86owief5XCuXSjC6Ya2F3FmSRStT6KKNksWYT8Ksoe6J,5,1741532626,2025-03-09T15:03:46+00:00,,buy,axiom,,,,1741532626,2025-03-09T15:03:46+00:00
4DBHJfr3eKm2iaXaQnS3zk3jvgY6ok4qbKTiBSE7aJnh,2pCs3XSSKj7zzioaopZAFr56dawBmtgv9EQuTqqe4Jc7,TOP71,0,,2640786.506349,0.272626338860746,359.5377484506735,1787458977,2026-08-23T04:22:57+00:00,-3225.1,post-migration,True,False,False,False,638.36418111443,2640786.506349,0,0,5,0,638.36418111443,0,-279.07949226012653,-0.4370058846978555,0,-279.07949226012653,0.0002417325973075331,,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,2.57542,1740738099,2025-02-28T10:21:39+00:00,,buy,,,,,1740738099,2025-02-28T10:21:39+00:00
2wYTSzB7Fk61qTU3dcRdE8nFUpsgq3mV36JjtvydBehs,D514bKCqzCNe1hMe8eT3ABTXJfd6GxZ3NdJ56nJ52uTs,TOP72,0,,2579565.537886,0.26630608220484075,351.20263726079236,1787605112,2026-08-24T20:58:32+00:00,-5660.683,post-migration,True,False,False,False,600.78699605984,3034531.240094,100.24020621048,454965.702208,5,2,600.78699605984,100.24020621048,-153.2745236051776,-0.2534647290620979,-0.6794824281847262,-152.59504117699288,0.00019798346054965298,0.00022032475354516384,,,,,,buy,fomo,,,,0,
