
clue-01.jpg
14 1 48.0 0.000139 [4, 0]
3 1 46.0 0.00015 [8, 3]
5 1 45.0 0.004334 [3, 7]
3 1 45.0 0.000128 [4, 4]
8 1 41.0 0.000649 [1, 4]

clue-10.jpg
4 4 24.0 0.000199 [6, 2]
4 3 95.0 0.000247 [4, 3]
4 2 48.0 6.5e-05 [6, 1]
3 2 36.0 0.000703 [6, 4]
4 2 35.0 0.000345 [6, 3]
4 1 90.0 2.7e-05 [4, 2]
3 1 82.0 0.002817 [5, 3]
4 1 38.0 0.000171 [6, 4]
7 1 33.0 0.000482 [3, 6]
4 1 30.0 2.4e-05 [4, 8]
14 1 29.0 0.004381 [5, 2]
7 1 19.0 0.000289 [2, 1]
7 1 19.0 2e-06 [4, 6]
1 1 17.0 1.1e-05 [1, 3]
4 1 12.0 0.004212 [6, 0]
1 1 11.0 0.000109 [1, 2]

clue-11.jpg
430 6 35.0 0.000191 [0, 2]
3 4 70.0 7.8e-05 [3, 4]
247 4 41.0 0.00088 [4, 1]
7 4 18.0 0.000222 [7, 3]
4 3 35.0 0.000249 [3, 4]
4 2 88.0 0.00051 [7, 4]
2 2 74.0 9e-06 [6, 2]
60 2 53.0 0.000253 [0, 4]
2 2 51.0 0.000704 [4, 6]
4305 2 46.0 0.000413 [0, 2]
556 2 45.0 0.000333 [4, 3]
2 2 40.0 7.8e-05 [6, 6]
2 2 37.0 5.4e-05 [1, 3]
3 2 35.0 0.001162 [4, 6]
962 2 33.0 0.000439 [7, 6]
90 2 31.0 0.000202 [0, 5]
1 2 18.0 1.1e-05 [3, 7]
9262 2 15.0 0.000439 [7, 6]
3 2 12.0 0.002468 [5, 6]
2 2 12.0 0.00203 [2, 2]

clue-12.jpg
5 3 68.0 0.000123 [7, 3]
3 3 55.0 0.000116 [1, 6]
5 3 43.0 0.001344 [5, 8]
3 3 17.0 0.000219 [6, 6]
4 2 62.0 0.000717 [6, 4]
3 2 51.0 4.2e-05 [3, 3]
8 2 40.0 0.000806 [6, 0]
2 2 37.0 0.000169 [7, 3]
4 2 36.0 6.7e-05 [4, 6]
8 2 35.0 0.000107 [2, 2]
5 2 33.0 8.6e-05 [4, 5]
4 2 29.0 0.001121 [4, 5]
8 2 13.0 0.002291 [4, 6]
4 1 85.0 0.000276 [5, 8]
2 1 78.0 0.000717 [6, 0]
5 1 72.0 4.3e-05 [1, 0]
9 1 71.0 3.4e-05 [7, 2]
2 1 65.0 5e-06 [4, 2]
7 1 62.0 0.000165 [8, 1]
4 1 58.0 9.8e-05 [7, 2]
